# Title : In Situ observations catalog
# Description : catalog of available In Situ observations per platform
# Project : Copernicus
# Format : 1.0
# Date of update : 202004061315
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/history/BO/GL_PR_BO_ArgosUWS.nc,57.19190,61.08000,8.08000,19.58000,1991-01-14T05:25:00Z,1991-05-28T08:55:00Z,Swedish Meteorological and Hydrological Institute (SMHI),2020-01-26T10:01:11Z,R,DC_REFERENCE DATA_MODE DIRECTION DEPH TEMP PSAL
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/history/BO/GL_PR_BO_DBBI.nc,54.06000,57.30000,11.06000,19.18000,1990-06-23T16:42:00Z,1990-06-30T19:24:00Z,Germany (Unknown),2020-01-26T10:00:53Z,R,DC_REFERENCE DATA_MODE DIRECTION PRES PSAL TEMP
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/history/BO/GL_PR_BO_DBBX_1990.nc,53.67000,58.29500,4.17000,15.27000,1990-01-05T14:30:00Z,1990-12-11T19:06:00Z,Germany (Unknown),2020-01-26T10:00:37Z,R,DC_REFERENCE DATA_MODE DIRECTION DEPH PRES TEMP PSAL
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/history/BO/GL_PR_BO_DCRL.nc,54.31000,54.60000,10.04000,12.19000,1990-01-22T09:00:00Z,1990-12-14T07:00:00Z,Germany (Unknown),2019-05-05T17:36:40Z,R,DC_REFERENCE DATA_MODE DIRECTION PRES PSAL TEMP
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/history/BO/GL_PR_BO_DESI.nc,53.67000,60.92000,-5.67000,8.38000,1990-01-06T22:24:00Z,1990-11-11T15:00:00Z,Germany (Unknown),2020-01-26T10:00:37Z,R,DC_REFERENCE DATA_MODE DIRECTION DEPH PRES PSAL TEMP
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/history/BO/GL_PR_BO_GOTB.nc,56.58000,57.37000,19.35000,20.57000,1990-01-29T07:00:00Z,1990-05-23T13:00:00Z,United Kingdom (Unknown),2019-05-05T17:36:40Z,R,DC_REFERENCE DATA_MODE DIRECTION PRES PSAL TEMP
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/history/BO/GL_PR_BO_LINW.nc,58.13000,58.38000,8.82000,9.18000,1992-02-10T09:00:00Z,1993-11-03T04:00:00Z,Unknown institution,2020-01-26T10:00:37Z,R,DC_REFERENCE DATA_MODE DIRECTION DEPH TEMP PSAL
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/history/BO/GL_PR_BO_OHLV_1991.nc,61.08000,61.08000,19.58500,19.58500,1991-04-11T15:51:00Z,1991-04-11T15:51:00Z,Unknown institution,2020-01-26T10:00:53Z,R,DC_REFERENCE DATA_MODE DIRECTION DEPH PSAL TEMP
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/history/BO/GL_PR_BO_OWPB.nc,54.48000,57.62000,6.83000,12.58000,1991-01-07T20:00:00Z,1991-02-20T18:00:00Z,Unknown institution,2020-01-26T10:01:11Z,R,DC_REFERENCE DATA_MODE DIRECTION DEPH TEMP PSAL
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/history/BO/GL_PR_BO_SDBF.nc,57.43000,57.56190,10.70810,11.67000,1991-01-14T08:40:00Z,1991-01-18T14:00:00Z,Unknown institution,2019-05-10T10:59:12Z,R,DC_REFERENCE DATA_MODE DIRECTION DEPH PSAL TEMP
