# Title : In Situ observations catalog
# Description : catalog of available In Situ observations per platform
# Project : Copernicus
# Format : 1.0
# Date of update : 202004061315
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/BO/201501/GL_TS_BO_FNFP_201501.nc,49.58333,55.18333,-1.15000,8.01667,2015-01-12T16:15:00Z,2015-01-31T06:10:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2019-05-16T12:46:21Z,R,POSITIONING_SYSTEM DC_REFERENCE DEPH DEPH_DM PSAL PSAL_DM
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/BO/201502/GL_TS_BO_FMCY_201502.nc,50.08333,56.91667,-1.23333,12.68333,2015-02-04T06:14:00Z,2015-02-07T06:19:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2019-05-16T12:43:44Z,R,POSITIONING_SYSTEM DC_REFERENCE DEPH DEPH_DM PSAL PSAL_DM
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/BO/201503/GL_TS_BO_FMCY_201503.nc,50.76667,57.73333,0.86667,10.90000,2015-03-18T06:36:00Z,2015-03-20T06:32:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2019-05-16T12:43:24Z,R,POSITIONING_SYSTEM DC_REFERENCE DEPH DEPH_DM PSAL PSAL_DM
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/BO/201510/GL_TS_BO_FNHO_201510.nc,37.41667,59.68333,-25.28333,23.70000,2015-10-15T10:00:00Z,2015-10-31T13:00:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-16T12:48:50Z,R,POSITIONING_SYSTEM DC_REFERENCE DEPH DEPH_DM PSAL PSAL_DM
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/BO/201601/GL_TS_BO_FNFP_201601.nc,49.88334,55.36666,-1.15000,8.10000,2016-01-21T09:33:00Z,2016-01-31T07:26:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2019-05-16T12:47:24Z,R,POSITIONING_SYSTEM DC_REFERENCE DEPH DEPH_DM PSAL PSAL_DM
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/BO/201604/GL_TS_BO_FNAV_201604.nc,27.61667,59.53333,-34.33333,22.70000,2016-04-07T11:13:00Z,2016-04-30T13:11:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-10T10:52:10Z,R,POSITIONING_SYSTEM DC_REFERENCE DEPH DEPH_DM PSAL PSAL_DM
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/BO/201612/GL_TS_BO_OXYH2_201612.nc,57.02000,66.68000,-54.13000,10.81000,2016-12-02T00:00:00Z,2016-12-26T07:30:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-10T10:59:33Z,R,POSITIONING_SYSTEM DC_REFERENCE DEPH DEPH_DM PSAL PSAL_DM
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/BO/201701/GL_TS_BO_OXYH2_201701.nc,57.65000,63.37000,-51.55000,8.00000,2017-01-09T00:15:00Z,2017-01-30T08:43:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-10T10:59:32Z,R,POSITIONING_SYSTEM DC_REFERENCE DEPH DEPH_DM PSAL PSAL_DM
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/BO/201708/GL_TS_BO_OXYH2_201708.nc,57.75000,64.07000,-52.12000,10.27000,2017-08-09T09:40:00Z,2017-08-22T06:50:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-10T10:59:34Z,R,POSITIONING_SYSTEM DC_REFERENCE DEPH DEPH_DM PSAL PSAL_DM
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/CT/201501/GL_PR_CT_EIGB_201501.nc,53.94270,54.08300,7.40200,8.10680,2015-01-31T13:21:00Z,2015-01-31T22:50:00Z,Irish Shipping Ltd (Dublin),2020-01-09T12:04:05Z,R,DC_REFERENCE DATA_MODE DIRECTION DEPH PRES TEMP PSAL DOX1
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/CT/201501/GL_PR_CT_EXO12272_201501.nc,56.04420,56.24270,10.31870,10.39130,2015-01-08T08:49:12Z,2015-01-20T11:22:48Z,Unknown institution,2019-07-29T12:05:19Z,R,DC_REFERENCE DATA_MODE DIRECTION PRES DOX1 PSAL TEMP CHLT PHOS SLCA
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/CT/201501/GL_PR_CT_EXO13389_201501.nc,55.99780,55.99780,11.85720,11.85720,2015-01-19T07:33:00Z,2015-01-26T09:25:12Z,Unknown institution,2019-05-11T11:38:27Z,R,DC_REFERENCE DATA_MODE DIRECTION PRES DOX1 PSAL TEMP CHLT SLCA PHOS
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/CT/201501/GL_PR_CT_EXO13390_201501.nc,54.75320,55.60270,9.72200,10.86220,2015-01-05T08:16:47Z,2015-01-27T08:39:00Z,Unknown institution,2019-07-29T12:06:22Z,R,DC_REFERENCE DATA_MODE DIRECTION PRES DOX1 PSAL TEMP CHLT PHOS SLCA PHPH ALK3
